section,evidence_category,claim,value,unit,source_artifact,caveat
source audit,Literature Fact,Zenodo DOI/DataCite metadata points to NL0119/Ce_5d1_Prediction tree/original.,10.5281/zenodo.14872504 -> NL0119/Ce_5d1_Prediction@original,identifier,notes/zenodo-github-version-audit.md,Direct Zenodo payload/checksum verification returned HTTP 403 locally.
version audit,Model Inference,"The paper-aligned reproduction object is the original 357-row workbook, not the later 358-row public workbook.",original 357 x 46; later main 358 x 19,rows x columns,notes/zenodo-github-version-audit.md,The authors' intent for the later 358-row update is not directly reported in inspected metadata.
dataset,Model Inference,The original workbook contains 330 leave-one-composition-out groups.,330,composition groups,reproductions/ce3_original_baseline/dataset_profile.json,Composition grouping is not source-aware or provenance-aware.
split,Model Inference,The inspected LOGO protocol is leave-one-composition-out.,LeaveOneGroupOut grouped by Composition,split definition,notes/modeling-code-audit-ce3-excitation-band-baseline.md,No DOI/year/source/in-house fields are available to audit source-aware splits.
notebook reference,Model Inference,Original notebook-saved output gives the closest author-side reference values.,MAE 0.153388; RMSE 0.154257; R2 0.838004,fold-mean eV for MAE/RMSE; unitless R2,notes/modeling-code-audit-ce3-excitation-band-baseline.md;reproductions/ce3_original_baseline/report.md,"Notebook-saved values are a saved output artifact, not a local rerun."
closest local rerun,Model Inference,CPU unseeded/default is the closest local rerun to notebook-saved fold-mean MAE.,MAE 0.154993; RMSE 0.155834; global R2 0.835515,fold-mean eV for MAE/RMSE; global unitless R2,results/tables/ce3_original_metric_gap/metric_gap_runs.csv;reproductions/ce3_original_metric_gap/report.md,Residual MAE gap vs notebook is +0.001605 eV.
deterministic baseline,Model Inference,"CPU seed=42 is the deterministic project baseline, not the closest notebook-state reproduction.",fold-mean MAE 0.161535; global MAE 0.160836; global R2 0.826486,eV for MAE; unitless R2,results/tables/ce3_original_baseline/summary.json;reproductions/ce3_original_baseline/report.md,Seed=42 fold-mean MAE differs from notebook by +0.008147 eV.
baseline comparison,Model Inference,XGBoost outperforms train mean/median baselines under the same composition-grouped split.,XGB MAE 0.161535; mean baseline 0.421168; median baseline 0.420135,fold-mean MAE eV,results/tables/ce3_original_baseline/summary.json;reproductions/ce3_original_baseline/report.md,All metrics use processed released features and cannot validate row-level source provenance.
provenance limitation,Model Inference,The public processed workbook lacks row-level DOI/year/source/in-house fields.,source_doi; source_year; measurement_source_metadata; is_in_house; explicit_ce_substitution_site missing,missing fields,reproductions/ce3_original_baseline/dataset_profile.json;reproductions/ce3_original_baseline/report.md,This blocks provenance-faithful full reproduction from the public workbook alone.
leakage limitation,Model Inference,Predicted CS and Predicted RP are frozen released features in this rerun.,not nested-regenerated,validation policy,notes/modeling-code-audit-ce3-excitation-band-baseline.md;reproductions/ce3_original_baseline/report.md,Strict nested validation would require regenerating auxiliary predictions inside each fold.
metric gap,Experiment Hypothesis,"The remaining notebook-vs-local metric gap may come from XGBoost version, CUDA/CPU behavior, or platform numerical differences.",+0.001605,fold-mean MAE eV,reproductions/ce3_original_metric_gap/report.md,CUDA was skipped because local nvidia-smi returned non-zero; device effects remain untested.
reporting language,Writing Guidance,Use 'paper-aligned 357-row public processed-data baseline reproduction' rather than 'complete reproduction'.,allowed wording,wording,reproductions/ce3_original_baseline/report.md;reproductions/ce3_original_metric_gap/report.md,Do not claim provenance-faithful full reproduction.
